Tuesday,May 09,Birthday of Rabindra Nath Tagore,West Bengal. A Bengali polymath who reshaped literature and music.
Wednesday,May 10,Buddha Purnima,Birth of Buddha
Tuesday,May 16,State Day,Sikkim only
Friday,May 26,Birthday of Kazi Nazrul Islam,Tripura only
Sunday,May 28,Maharana Pratap Jayanti,"Haryana, Himachal Pradesh only"
Monday,May 29,Guru Arjun Dev Martyrdom day,Punjab Only
Friday,June 09,Sant Guru Kabir Jayanti,"Gazetted holiday in Chhattisgarh, Haryana, Himachal Pradesh, Punjab."
Wednesday,June 14,Pahili Raja,Odisha
Thursday,June 15,Raja Sankranti,Odisha only
Friday,June 23,Jumat-ul-Wida,Last Friday of Ramadam
Sunday,June 25,Ratha Yatra,Odisha
Sunday,June 25,Idul Fitr,Kerala
Monday,June 26,Idul Fitr,Many states
Tuesday,June 27,Idul Fitr Holiday,Telangana. Following Day of Ramzan
Saturday,July 01,Kharchi Puja,Tripura only
Monday,July 10,Bonalu,
Saturday,July 15,Ker Puja,Tripura only
Wednesday,July 26,Teej,Haryana only
Monday,July 31,Martyrdom Day of Shaheed Udham Singh,Punjab only
Monday,August 07,Raksha Bandhan,
Monday,August 14,Janmashtami,Celebrates the birth of Lord Shri Krishna
Tuesday,August 15,Independence Day,
Tuesday,August 15,Janmashtami,
Thursday,August 17,Parsi New Year,Jamshed Navroz
Tuesday,August 22,Parkash Utsav Sri Guru Granth Sahib Ji,Punjab only
Friday,August 25,Ganesh Chaturthi,Varasiddhi Vinayaka Vrata
Saturday,August 26,Nuakhai,Odisha only. Harvest Festival. Day after Ganesh Chaturthi
Wednesday,August 30,Birthday of Baba Sri Chand Ji,Punjab only
Friday,September 01,Idul Juha,"Kerala, Puducherry"
Saturday,September 02,Idul Juha,Many states
Sunday,September 03,First Onam,Kerala only. Harvest Festival
Monday,September 04,Thiruvonam,Kerala only. Harvest Festival
Wednesday,September 06,Sree Narayana Guru Jayanti,Kerala only. Marks the birth of a key social reformer
Tuesday,September 19,Mahalaya,"Karnataka, Odisha, Tripura, West Bengal only."
Wednesday,September 20,Bathukamma Starting day,Nine days before Durgastami
Thursday,September 21,Muharram,Observed mainly by the Shia Muslim community
Thursday,September 21,Maharaja Agrasen Jayanati,"Haryana, Punjab only"
Thursday,September 21,Sree Narayana Guru Samadhi,Kerala only. Marks the death of a key social reformer
Saturday,September 23,Haryana's Heroes' Martyrdom Day,Haryana only
Wednesday,September 27,Saptami of Durgapuja,"Odisha, Tripura, West Bengal only"
Thursday,September 28,Durga Puja,"Mahastami. Odisha, Sikkim, Tripura, West Bengal"
Thursday,September 28,Ayudha Puja,Tamil Nadu
Thursday,September 28,Durgastami,"Andhra Pradesh, Telangana"
Friday,September 29,Mahanavami,Ninth Day of Dussehra
Friday,September 29,Dussehra,Punjab
Saturday,September 30,Dussehra,Vijaya Dashami
Saturday,September 30,Vijaya Dashami,"Karnataka, Kerala, Odisha, Sikkim, Tamil Nadu. Dussehra"
Sunday,October 01,Muharram (10th Day),Day of Ashurah
Monday,October 02,Mahatma Gandhi Birthday,Gandhi Jayanti
Tuesday,October 03,Puja Holiday (additional),Tripura only.
Wednesday,October 04,Puja Holiday (additional),Tripura only.
Thursday,October 05,Maharishi Valmiki Birthday,"Delhi, Haryana, Himachal Pradesh, Karnataka, Punjab."
Thursday,October 05,Lakshmi Puja,"Odisha, Tripura, West Bengal only."
Saturday,October 07,Parkash Gurpurab of Sri Guru Ram Dass Ji,Punjab only
Wednesday,October 18,Deewali,Deepawali
Wednesday,October 18,Kati Bihu,Assam only
Wednesday,October 18,Narak Chaturdashi,Karnataka
Thursday,October 19,Kali Puja,"Odisha, West Bengal. Festival dedicated to the Hindu goddess Kali"
Thursday,October 19,Deewali,Maharashtra(Laxmi Pujan)
Friday,October 20,Vishavkarma day,"Haryana, Punjab only"
Friday,October 20,Deepavali,"Karnataka, Maharashtra"
Friday,October 20,Vikram Samvat New Year,Gujarat only.
Friday,October 20,Govardhan puja,Uttar Pradesh
Saturday,October 21,Bhai Bij,Gujarat only.
Tuesday,October 31,Public Holiday,Haryana. Birthday of birth anniversary of Sardar Patel
Wednesday,November 01,Haryana Day,Haryana only.
Wednesday,November 01,Kannada Rajyothsava,Bangalore Only. Karnataka Formation Day
Saturday,November 04,Guru Nanak Birthday,"The Birthday of Guru Nanak Sahib, the founder of Sikhism, falls on full moon day of the month Kartik"
Saturday,November 04,Rasa Purnima,Odisha only
Monday,November 06,Kanakadasa Jayanthi,Karnataka only
Thursday,November 23,Martyrdom Day of Sri Guru Teg Bahadur Ji,Punjab only
Friday,December 01,Milad-un-Nabi,
Saturday,December 02,Milad-un-Nabi,
Sunday,December 03,Feast of St Francis Xavier,Goa only.
Monday,December 18,Guru Ghasidas Jayanti,Chhattisgarh
Tuesday,December 19,Goa Liberation Day,Goa only
Monday,December 25,Christmas Day,Observed in all states
Monday,December 25,Guru Gobind Singh Jayanti,Haryana only. Second time in 2017
Tuesday,December 26,Shaheed Udham Singh's Birthday,Haryana only
Tuesday,December 26,Boxing Day,"Mizoram, Telangana"
